,urn,ts,company,numLikes,numComments,text,Environment,Positive,Climate Impact,Biodiversity and Environmental Footprint,Negative,Waste and Emissions Management ,Social,Human Capital ,Environmental Opportunities ,Waste and Emission Management,Diversity and Inclusion,Workplace and Product Safety,Environmental Crime,Governance,Legal Compliance,Business Ethics and Transparency,Product Stewardship
2823,6.961e+18,04/08/2022 17:04,jabil,15,1,"Many consumer packaged goods (CPG) companies are adopting or evaluating the use of #biodegradable or #compostable materials for their sustainable packaging programs. However, priorities vary for everyone. 

Download Jabil's 2022 sustainable packaging trends survey to see what 186 packaging decision-makers at consumer packaged goods companies are saying: https://lnkd.in/gvRDKVTf",20.0,20.0,,20.0,,,,,,,,,,,,,
2829,6.95809e+18,27/07/2022 16:12,jabil,48,1,"Manufacturing now accounts for roughly 20% of global carbon emissions, much of which comes from the extraction and transportation of raw materials.

To reduce their footprint, manufacturers must shift focus to recovering those materials from existing products and reusing them in new ones via a #CircularEconomy.

Doing so benefits not only the environment but also offers business advantages that can help manufacturers meet their #sustainability — and even financial — goals. Learn how: https://lnkd.in/gtYNZ8Av",20.0,20.0,10.0,,,10.0,,,,,,,,,,,
2835,6.9559e+18,21/07/2022 14:43,jabil,37,2,"""Emissions reduction strategies do more than just help us address the major causes of climate change,"" Global #Energy manager PJ Farrenkopf writes. ""They also offer added business benefits like cost savings from operational efficiency, increased sales and customer loyalty, innovation, and improved relationships with stakeholders.""

Here are four strategies for reducing Scope 1 and 2 emissions: https://lnkd.in/dPzwBHYa

#Sustainability",40.0,40.0,25.0,,,15.0,,,,,,,,,,,
2840,6.95378e+18,15/07/2022 18:28,jabil,519,6,"This year, Swiss sites have utilized spending time outdoors to boost morale, increase engagement among employees and help contribute to improved mental health. This includes participating in the Bike to Work Challenge. 🚴
 
Bike To Work is a Swiss-wide health promotion campaign organized by the Pro Velo Switzerland association that promotes well-being and sustainable mobility practices. Nearly 150 Jabil employees have collectively participated across Bettlach, Grenchen, Le Locle, Mezzovico, Hägendorf and Balsthal.
 
“Bike To Work has been the right stimulus for me to resume regular physical activity,"" Silvio Bianchi, senior facility project technician, said. ""During the two months of the challenge, I kept a participation rate of 100% by cycling every day to work, thanks to the support and engagement of my team. Moreover, I rediscovered a sport that I am passionate about.

""I would like to take this opportunity to thank Jabil for joining Bike To Work and for focusing so much on the health and well-being of employees.""

Bike to work is just one outdoor activity employees are taking part in. A newly-launched running group unites employees who share a passion for running with the goal of taking part in a local half-marathon in September. 
 
Participation in biking and running groups can increase team spirit, create a more inclusive and positive environment and reduce stress while simultaneously helping the environment. Yet, no matter the activity, our Swiss sites' commitment to this program reminds us that our mental and physical well-being can benefit from a connection to nature and promotes a culture of prioritizing #MentalHealth.

#WeAreJabil",20.0,10.0,,,,,10.0,10.0,,,,,,,,,
2843,6.95271e+18,12/07/2022 19:48,jabil,66,2,"""As the planet warms up, corporations are feeling the heat from consumers and governments alike to reduce their greenhouse gas emissions,"" PJ Farrenkopf, project manager for global energy, writes in IndustryWeek.

While some companies rely on renewable #energy certificates to offset emissions, Jabil has found success in targeting greenhouse gas emissions at our own facilities. Learn how: https://lnkd.in/eNZw8Sby

#Sustainability",50.0,10.0,35.0,,,15.0,,,,,,,,10.0,10.0,,
2845,6.95197e+18,10/07/2022 18:55,jabil,34,1,"There is not one single swap that manufacturers or product designers can make to create a “sustainable” design.

Instead, it takes a holistic evaluation of the #design and the processes required to execute it to determine where a product’s carbon footprint could be reduced. Learn more: https://lnkd.in/gmw7nc-j

#CircularEconomy",30.0,,30.0,,30.0,,,,,,,,,,,,
2849,6.95054e+18,06/07/2022 20:21,jabil,181,8,"Jabil Manaus led the efforts of our second Global Volunteer Day by planting more than 250 seedlings in Mindu Park on World Environment Day. Nearly 200 employees rallied together — each having the opportunity to plant their own seedling and work in teams to plant more mature trees.

Jabil Manaus is dedicated to protecting the Amazon Rainforest, an important ecosystem for the health of the planet that filters a large amount of carbon dioxide out each year. Employees have planted hundreds of trees and removed thousands of pounds of trash from the forest this year alone.  

All of their incredible efforts to protect the #environment contribute to Jabil’s goal of giving back one million volunteer hours in 2022!

#WeAreJabil",80.0,80.0,,80.0,,,,,,,,,,,,,
2855,6.9483e+18,30/06/2022 16:00,jabil,37,0,"Beyond reducing waste, landfill diversion programs can dramatically reduce greenhouse gas emissions while also reducing the amount of new materials consumed in the #manufacturing of new products.

With structure and strategy, a landfill diversion program can help organizations reach their #sustainability goals and business objectives by creating a more robust reverse #SupplyChain with more effective risk management.

Learn how: https://lnkd.in/gR5kbKBw",40.0,40.0,35.0,,,,,,,,,,,,,,
2860,6.94648e+18,25/06/2022 15:00,jabil,103,3,"#LeanSixSigma combines the mindsets and methodologies of problem-solving from Lean and Six Sigma to create a complementary system that delivers a deeper look into maximizing customer value while reducing waste.

""Lean Six Sigma is not merely a “flavor of the month,"" writes Senior Global Lean Six Sigma Director Heidi Wirtz. ""While some business approaches are short-lived trends, Lean Six Sigma has stood the test of time and remains more relevant than ever."" Learn why: https://lnkd.in/g-2dX6UP",5.0,5.0,,,,5.0,,,,,,,,,,,
2862,6.94584e+18,23/06/2022 20:42,jabil,56,1,"Jabil created a blueprint for energy management that helped slash year-over-year greenhouse gas emissions 19% in 2021.

In an interview with PlasticsToday, PJ Farrenkopf, project manager for global energy, shared our four-part strategy for reducing energy use while increasing operational efficiency, managing data and investing in renewable #energy.

https://lnkd.in/gNkzCm2k

#Sustainability",10.0,10.0,,10.0,,,,,,,,,,,,,
2869,6.94323e+18,16/06/2022 15:56,jabil,26,0,"How can the virtual world help manufacturers reduce their footprint in the physical world?

""Digital twins might just save the planet by significantly slashing our global carbon footprint by empowering a circular economy and major advancements in #Sustainability,"" Daniel Gamota, VP of manufacturing, technology and innovation writes for Forbes Technology Council.

Read how: https://lnkd.in/d96Ksvcn

#DigitalTwins #CircularEconomy",10.0,10.0,10.0,,,,,,,,,,,,,,
2870,6.94286e+18,15/06/2022 15:30,jabil,34,0,"There is not one single swap that manufacturers or product designers can make to create a “sustainable” design.

Instead, it takes a holistic evaluation of the design and the processes required to execute it to determine where a product’s carbon footprint could be reduced. Learn more from Jabil experts Sheri Dillard, director of supply chain management and Michael Kiely, principal device development engineer: https://lnkd.in/gmw7nc-j

#SustainableDesign #CircularEconomy",35.0,5.0,30.0,,30.0,,,,,,,,,,,,
2872,6.94213e+18,13/06/2022 15:14,jabil,30,2,"Many companies are making strides to reduce carbon emissions from their operations, but that’s just one part of the #sustainability picture.

80% of an organization's overall climate impact may come from scope 3 — or indirect — sources making them a key consideration in any industrial decarbonization strategy.

Linda Weber, global sustainability engagement manager, and Erick Prause, senior director of supply chain quality, offer their insight into tackling these emissions: https://lnkd.in/ek5decYP

#Decarbonization #Decarbonisation",40.0,40.0,25.0,,,15.0,,,,,,,,,,,
2886,6.93751e+18,31/05/2022 20:58,jabil,74,0,"#LeanSixSigma combines the mindsets and methodologies of problem-solving from Lean and Six Sigma to create a complementary system that delivers a deeper look into maximizing customer value while reducing waste.

""Lean Six Sigma is not merely a “flavor of the month,"" writes Senior Global Lean Six Sigma Director Heidi Wirtz. ""While some business approaches are short-lived trends, Lean Six Sigma has stood the test of time and remains more relevant than ever."" Learn why: https://lnkd.in/g-2dX6UP",5.0,5.0,,,,5.0,,,,,,,,,,,
2893,6.98702e+18,15/10/2022 12:01,amgen,758,7,"In our latest Places of Amgen, we head to the Midwest where Amgen recently announced a new manufacturing site in Ohio. With construction underway, Amgen Ohio will be the company’s most advanced final product assembly and packaging plant, using digital and robotic technologies. Operational by 2024, the facility will assemble, label and pack vials and syringes to meet growing demand for Amgen medicines. 

Read more about Amgen’s presence in the Buckeye State: https://amgen.ly/3yAeYUt",20.0,20.0,,,,20.0,,,,,,,,,,,
2954,6.96641e+18,19/08/2022 15:00,amgen,1799,12,"Amgen is deeply committed to creating diverse and inclusive environments where all staff feel a sense of belonging and purpose. We're proud to be recognized as a Diversity Equality Index (DEI) ""Best Places to Work for Disability Inclusion"" by Disability:IN and the American Association of People with Disabilities. “Amgen earning a top score in every DEI category is a testament to how much we truly value the contributions of all of our employees and the impact ERGs like Ability Bettered Through Leadership and Education (ABLE) can have on ensuring employees feel supported and safe in the workplace,” said Noemi Romero, vice president of Supply Chain and Global Chair of ABLE. https://amgen.ly/3A0Ywwr",5.0,5.0,,,,,,,,,,,,,,,
2956,6.96534e+18,16/08/2022 16:20,amgen,203,5,"As sustainability and efficiency become increasingly important, Amgen has made bold environmental commitments across our global operations, including at Amgen Manufacturing Limited (AML), our largest biomanufacturing facility located in Juncos, Puerto Rico. Our latest Amgen Chronicles story takes a deep dive into how the wastewater team at AML identified new ways to reuse and significantly improve the overall efficiency of the site’s water use. Today, 50-60% of the site’s water is reused and the team continues to drive towards an even more efficient system moving forward.",15.0,15.0,,10.0,,5.0,,,,,,,,,,,
2959,6.96387e+18,12/08/2022 15:03,amgen,2658,42,"We're proud that Fortune and Great Place to Work US honored Amgen as one of the World's Best Workplaces in 2021. Discover how we are working to ensure our actions and culture reflect Amgen’s values by reading our 2021 Environmental, Social & Governance #ESG report: https://amgen.ly/3AeUkKI 
",5.0,5.0,,,,,,,,,,,,,,,
3022,6.9838e+18,06/10/2022 14:50,amd,265,0,"This Energy Efficiency Day, we're sharing how AMD advances environmental sustainability by creating products that can reduce customer and end-user energy use and GHG emissions. https://lnkd.in/eTAc6k7w #TogetherWeAdvance #EEDay2022",55.0,55.0,25.0,30.0,,,,,,,,,,,,,
3024,6.9835e+18,05/10/2022 19:01,amd,310,3,"The most energy-efficient supercomputers are powered by AMD technology, including LUMI (number 3 on the Green500 List – June 2022) which is used to advance climate research and is powered by 100% renewable energy. Read about how AMD powers LUMI to advance sustainable computing. https://bit.ly/3Ekt7bZ #TogetherWeAdvance #sustainability",25.0,25.0,,15.0,,,,,10.0,,,,,,,,
3066,6.97846e+18,21/09/2022 21:03,amd,175,1,"At AMD, we embrace the responsibility to protect our planet and the opportunity to help others save energy and reduce GHG emissions. We're doing just that by:

🌎Minimizing environmental impacts at AMD and in our supply chain;
💻Advancing environmental performance for IT users; and
🤝Innovating on collaborative solutions to address environmental challenges

Read more below on how we are committed to climate action!

#ClimateWeekNYC #AMD #ESG #CSR #sustainability #TogetherWeAdvance",45.0,5.0,25.0,20.0,,,,,,,,,,5.0,,,
3087,6.95887e+18,29/07/2022 19:31,steelcase,698,10,"We're excited to be ranked 13th of 400 on the 2022 Forbes list of America's Best Employers for Women. At Steelcase, we're proud to foster a culture of belonging where women can thrive. We strive to create diverse, equitable and inclusive environments that promote positive work-life fulfillment and growth. Congrats to all the companies on this list for their support of women at work. https://lnkd.in/eQ2754sQ",15.0,15.0,,,,,,,,,,,,,,,
3096,6.97802e+18,20/09/2022 15:48,steelcase,95,2,"We need carbon accounting that is more reliable, interoperable, and up to the task of measuring progress. That’s why we are proud to sign-on to the #CarbonCall — to mobilize collective action, investments and resources to strengthen carbon accounting for the planet. Today, we commit to reporting greenhouse gas emissions comprehensively, transparently and annually. Join us: https://lnkd.in/gTep6Ucf",20.0,5.0,15.0,,15.0,,,,,,,,,,,,
3135,6.94286e+18,15/06/2022 15:22,steelcase,844,11,"👀 Highlights from our Chicago WorkLife at #NeoCon2022 include Everwall - our new adaptable architectural wall system, the stunning Frank Lloyd Wright Racine Collection, the Steelcase Series 1 chair with CarbonNeutral®️ certification and our Hybrid Collaboration Table, co-designed with Microsoft for the Teams Room Front Row experience. ",10.0,10.0,,,,,,,,,,,,,,,
3145,6.93315e+18,19/05/2022 20:12,steelcase,134,1,"New Steelcase-led research allows designers to gain confidence in the safe use of textiles in workplaces moving forward. Sharon Tracy, PhD and Carol Derby share more about the findings and what it means for the workplace in this Q+A. https://lnkd.in/gSk5aMtn",15.0,15.0,,,,15.0,,,,,,,,,,,
3151,6.92727e+18,03/05/2022 15:10,steelcase,90,0,"The office is the new amenity. AECOM's Matthew Rebbe, IIDA, AIA, NCARB, LEED GA believes the office of old won’t cut it. Read our Q+A with Matt to learn why he says new spaces are needed to build a human connection. https://lnkd.in/e4PcfmJs",20.0,20.0,,,,,,,,,,,,,,,
3177,6.90488e+18,02/03/2022 19:56,steelcase,67,2,We are excited to join the 90+ organizations in the U.S. Department of Energy (DOE) Better Climate Challenge. This challenge underlines our commitment to setting science-based targets that will reduce our greenhouse gas emissions by 50% within 10 years. We will be sharing our learnings and solutions with the market to accelerate climate action. https://lnkd.in/dnK2W_5W,60.0,60.0,60.0,,,,,,,,,,,,,,
3184,6.90051e+18,18/02/2022 18:55,steelcase,49,2,We're proud to have been recognized in the top 8% as a Supplier Engagement Leader by CDP for our work engaging with our suppliers to tackle climate change. https://lnkd.in/e-cGT3m7 #CDPSupplyChain,15.0,15.0,10.0,,,,,,,,,,,,,,
3190,6.9885e+18,19/10/2022 14:05,kiewit,212,7,"The Gene Leahy Mall – part of the massive revitalization of the Omaha Riverfront – now has a fresh, new look.

Some of its new amenities include play areas for children, two event pavilions, a dog park, water features and a sculpture garden.

Scattered throughout the 18-acre park are 30,000 plants and trees and 400,000 linear feet of electrical wiring. 

Construction was completed over the summer, and the space is now open for visitors!",10.0,10.0,,10.0,,,,,,,,,,,,,
3208,6.97835e+18,21/09/2022 14:04,kiewit,1157,25,"Kiewit is proud to lead the on-land construction activity for the Champlain Hudson Power Express transmission line. 
 
Once complete, the 339-mile fully-buried transmission line will provide 1,250 MW of clean and renewable energy to New York City. 
 
Read more: http://ow.ly/bGCz50KOxsi ",5.0,5.0,,,,,,,,,,,,,,,
3210,6.97654e+18,16/09/2022 14:05,kiewit,78,0,"To mitigate construction impacts and to assist with wildlife rescue near the Pattullo Gas Line Replacement project, our team helped establish a new Public Admissions and Support Centre for Wildlife Rescue Association of BC in Burnaby.

With the support of FortisBC, the temporary centre allows the Wildlife Rescue to continue its operations - serving the public and caring for animals while critical construction is underway nearby. 

Read more: http://ow.ly/JjeP50KFOfL",10.0,10.0,,10.0,,,,,,,,,,,,,
3233,6.96646e+18,19/08/2022 18:31,kiewit,26,0,"The projects we build matter. 
 
The anticipated positive impacts of the Yellowbud Solar Farm are substantial - economically and environmentally, and Kiewit is proud to be a part of this project.",5.0,5.0,,,,,,,,,,,,,,,
3253,6.95516e+18,19/07/2022 14:03,kiewit,480,10,"The Indeck Niles Energy Center has entered service in Michigan. Congratulations to everyone involved in the successful delivery of this 1,100 MW facility. 

Kiewit Power Constructors Co. served as the engineering, procurement, construction (EPC) contractor for the energy center which is operated Indeck Energy Services and features  two GE 7HA.02 gas turbines, powering two GE-supplied H65 generators.

“The Niles Energy Center will have a positive, lasting impact on the community by reducing carbon emissions and providing reliable power,” said Chris Turnbull, president of Kiewit Power Constructors Co. “We are proud to have served as the EPC contractor and to have worked in close partnership with Indeck and GE in delivering this state-of-the-art facility.”

http://ow.ly/zG5650JU0uq
",25.0,10.0,25.0,,,,,,,,,,,10.0,,10.0,
3262,6.94793e+18,29/06/2022 15:02,kiewit,235,2,"Kiewit and its subsidiary Cherne are proud to support Phillips 66 on their world class Rodeo Renewed energy transition project which will provide sustainable low carbon fuels for the West Coast. 

We congratulate the Phillips 66 organization for providing the energy sources of the future!",20.0,20.0,,,,,,,20.0,,,,,,,,
3564,6.89144e+18,24/01/2022 17:42,petsmart,67,1,"PetSmart Charities helps make the world a better place for pets by investing in community partners that advocate & care for the well-being of pets and all who love them. With an updated mission, look, and tagline, they are ready to take on the new year and continue leading the change for good. ❤️🐾

Check out the new look, join the mission, and share in some of the goodness that PetSmart Charities has accomplished here: https://lnkd.in/e7gei_48",10.0,10.0,,10.0,,,,,,,,,,,,,
3567,6.88746e+18,13/01/2022 18:22,petsmart,119,0,"PetSmart is honored to return as presenting sponsor for the 36th annual Arizona Dr. Martin Luther King Jr. Celebration. The event celebrates Dr. King’s remarkable legacy and recognizes the accomplishments of individuals who’ve made an impact in our community in support of racial equality and social justice. Lisa Robinson-Davis, PetSmart’s Vice President of Quality & Compliance, will present the MLK Calvin C. Goode Lifetime Achievement Award.
 
We’re proud to support organizations that unite our community and celebrate diversity, inclusion and equity. We strive to foster an environment where people from diverse backgrounds can excel, and we know that by working together, we can accomplish great things. 
 
Tune in tomorrow, January 14, at 11 a.m. MST to watch this virtual event live: https://lnkd.in/eGxQEk-6. 
 
#MLKDayofService #PhoenixMLK #MLK #UnitedTogether #LifeatPetSmart #AnythingforPets",10.0,10.0,,,,,,,,,,,,,,,
3589,6.98851e+18,19/10/2022 14:30,unilever,92,2,"How is Alyson Gruber, Senior Packaging Engineer Global Skin Care, making an impact in her role?

Aly’s love of discovery and creativity comes to life by designing and developing sustainable packaging that is safe and effective for our consumers and the planet. Last year she had the opportunity to develop a recyclable and lightweight tube for our Simple face washes. By reducing the thickness of the tube and the height of the cap, she was able to reduce the weight by about 25%. Seeing the new packaging in market showed the real difference she could make in her role!

What else is a Senior Packaging Engineer responsible for?
🔹 Ensuring our products stay fresh from the point of manufacture, distribution, purchase, storage in our consumers home, and usage.
🔹 Progressing packaging sustainability initiatives by educating our innovation project teams on what we can do to decrease our plastic and carbon footprints, and implementing projects to increase recyclability, lightweight, and include recycled material.
🔹 Make sure our consumers have a positive experience with our products.

That’s the power of Aly. Join us and discover the #PowerOfU: https://lnkd.in/d8nC8kP

#UniquelyUnilever",30.0,30.0,10.0,,,20.0,,,,,,,,,,,
3595,6.98718e+18,15/10/2022 22:47,unilever,907,19,"🌍 Ever wondered what the inside of one of our Unilever offices looks like? 

Today we are taking a tour around one of our Dutch offices - Hive in Wageningen.

Also known as the Foods Innovation Centre, Hive is the global Research & Development hub for many of our brands including Knorr, Hellmann's, and The Vegetarian Butcher. The location in Wageningen is no coincidence as the town sits at the heart of the world-renowned Food Valley!

Hive boasts more than 18,000m2 of area, including a built-in factory with a direct connection to the customer and food experience area. The material used for building the Wageningen office is approximately 30% recyclable, while its interiors use already recycled parts. 

The temperature inside is measured and adjusted based on the number of people present. In fact, the Innovation Centre has obtained the BREEAM-NL certification for architectural sustainability.

Ready to start your career at Unilever? Learn more here: https://lnkd.in/d8nC8kP

#UnileverTour #UniquelyUnilever",40.0,40.0,,40.0,,,,,,,,,,,,,
3603,6.98599e+18,12/10/2022 16:08,unilever,147,3,"Eva Langeler believes in creating a greener future through plant-based foods and carbon-neutral initiatives.

In her role as Trade Category Manager Meat Replacement for The Vegetarian Butcher, she uses the power of storytelling and data-driven insight to highlight the benefit of these products for people and the planet.

Eva shares, “My purpose is to “power lives with sunshine”, pushing forward more planet friendly initiatives through positive energy and grit, as my team and I are currently doing within the fantastic meat replacement category.”

That's the power of Eva. Join us and discover the #PowerOfU: https://lnkd.in/d8nC8kP

#UniquelyUnilever",20.0,20.0,,20.0,,,,,,,,,,,,,
3613,6.98464e+18,08/10/2022 22:13,unilever,1248,36,"Today we’re heading over to our office in Bonifacio Global City (BGC) in Taguig, Manila, Philippines. 🌏

Our office in Manila has forged a culture of Malasakit, a “genuine concern for others”, and actively engages employees to Win with Purpose. Recognizing the passion behind purpose and the importance of supporting a balanced work life, there are interest groups to join including basketball, volleyball, running and cycling clubs.

Located in the LEED-certified Bonifacio Corporate Center, our office in the Philippines upholds sustainability in its workspaces with its efficient structural design that harnesses daylight and allows for reduced water consumption.

It has many interesting spaces named by employees, such as the Blue Box for karaoke and video gaming and the BRB room with sleeping pods for mini-breaks. Catering to the needs of working parents, the office also has a day care centre, an in-house pharmacy and Unilever shop.

Scroll through to take a tour of our office ➡️

Check out our opportunities to join us here: https://lnkd.in/d8nC8kP

#UniquelyUnilever #UnileverTour",10.0,10.0,,10.0,,,,,,,,,,,,,
3615,6.98413e+18,07/10/2022 12:43,unilever,270,14,"What does it mean to be a Formulation Scientist at Unilever?

Rachel Fenwick primarily works in our lab where she explores new ingredients and tests formulations to ensure they deliver an excellent experience to our customers. Currently she’s involved with several projects under Our Clean Future initiatives and working to make our products better for the planet.

“I am driven to help people by helping the planet. My role allows me to follow my purpose as I work to reduce the environmental impact of Unilever’s products and therefore protect the planet for all.”

That’s the power of Rachel. Join us and discover the #PowerOfU: https://lnkd.in/d8nC8kP

#UniquelyUnilever",10.0,20.0,,10.0,,,,,,,,,,20.0,,20.0,
3640,6.97964e+18,25/09/2022 03:21,unilever,277,7,"How is Alyson Gruber, Senior Packaging Engineer Global Skin Care, making an impact in her role?

Aly’s love of discovery and creativity comes to life by designing and developing sustainable packaging that is safe and effective for our consumers and the planet. Last year she had the opportunity to develop a recyclable and lightweight tube for our Simple face washes. By reducing the thickness of the tube and the height of the cap, she was able to reduce the weight by about 25%. Seeing the new packaging in market showed the real difference she could make in her role!

What else is a Senior Packaging Engineer responsible for?
🔹 Ensuring our products stay fresh from the point of manufacture, distribution, purchase, storage in our consumers home, and usage. 
🔹 Progressing packaging sustainability initiatives by educating our innovation project teams on what we can do to decrease our plastic and carbon footprints, and implementing projects to increase recyclability, lightweight, and include recycled material.  
🔹 Make sure our consumers have a positive experience with our products.

That’s the power of Aly. Join us and discover the #PowerOfU: https://lnkd.in/d8nC8kP

#UniquelyUnilever",30.0,30.0,10.0,,,20.0,,,,,,,,,,,
3641,6.97951e+18,24/09/2022 18:39,unilever,184,8,"The majority of our emissions are generated outside of our factories.  
 
We need to engage our suppliers on climate, to reduce emissions in our shared value chain and reach net zero by 2039.   
 
Stella Constantatos, Senior Manager for Business Operations Sustainability, explains why it’s vital we help our suppliers tackle their emissions. 👇 

https://lnkd.in/grEsgRYh

#ClimateWeekNYC",50.0,50.0,20.0,,,30.0,,,,,,,,,,,
3646,6.97878e+18,22/09/2022 18:30,unilever,280,7,"Unilever is tackling ice cream’s carbon footprint by: 

🍦reducing dairy emissions  
🍦increasing plant-based ingredients 
🍦heating up the cold chain 

Roy Horne, Head of Climate Action in our Ice Cream Group, explains more 👇  

https://lnkd.in/dZHBzFE6

#ClimateWeekNYC ",35.0,35.0,10.0,10.0,,15.0,,,,,,,,,,,
3648,6.97856e+18,22/09/2022 03:30,unilever,463,67,"We’re proud to have won the Market Trailblazer category at The Climate Group RE100 Leadership Awards for our transition to renewable electricity. 

Renewable energy is a win–win for business and the planet. That’s why we’re partnering with others to accelerate the clean energy transition and make progress on our goal of 100% renewable energy for electricity and heat worldwide by 2030.    

🔗 Read more about our work here: https://lnkd.in/g3sTg3tv

#ClimateWeekNYC #RE100Awards ",5.0,5.0,,,,,,,,,,,,,,,
3650,6.97807e+18,20/09/2022 19:36,unilever,399,12,"We’re transitioning to 100% renewable energy worldwide by 2030. It’s better for the planet – and it’s better for our business too. 
 
Switching to renewables makes Unilever more resilient to rising energy costs, and it’s been the greatest contributing factor to cutting our operational emissions by 64% since 2015. 
 
👉 Swipe through to read how we’re working towards 100% renewable energy across our business by 2030, for both electricity and heat. 
 
🔗 Read more about our progress here: https://lnkd.in/g3sTg3tv
 
#ClimateWeekNYC",90.0,90.0,,,,80.0,,,10.0,,,,,,,,
3665,6.97151e+18,02/09/2022 17:05,unilever,99,13,"💬 John Hubbard, HomeCare Product Development Manager Port Sunlight Research & Development 
📍 UK 
🧪 Innovator
 
Through Our Clean Future initiative, he develops new opportunities to deliver sustainable products using fully biodegradable and renewable ingredients which helps to create a better planet. He sees his role as one that can make a difference in how brands impact the consumer and the planet. 
 
Some of the ways he’s activating his purpose through his role include: 
🔹 Creating innovative formulations for some of our HomeCare liquids 
🔹 Simplifying our product mixes using fewer chemicals and more sustainable ingredients 
🔹 Reducing complexity and removing non-essential ingredients which is at the heart of sustainability for the business and the planet 
 
Outside of his role, he is an advocate for STEM by engaging with his children’s school to teach them how science is involved in delivering the everyday products they use in their homes. 
 
That’s the power of John. Join us and discover the #PowerOfU: https://lnkd.in/gVVzV9i
 
#UniquelyUnilever",10.0,10.0,,10.0,,,,,,,,,,10.0,,,10.0
3668,6.97124e+18,01/09/2022 22:58,unilever,80,2,"💬 John Hubbard, HomeCare Product Development Manager Port Sunlight Research & Development 
📍 UK 
🧪 Innovator
 
Through Our Clean Future initiative, he develops new opportunities to deliver sustainable products using fully biodegradable and renewable ingredients which helps to create a better planet. He sees his role as one that can make a difference in how brands impact the consumer and the planet. 
 
Some of the ways he’s activating his purpose through his role include: 
🔹 Creating innovative formulations for some of our HomeCare liquids 
🔹 Simplifying our product mixes using fewer chemicals and more sustainable ingredients 
🔹 Reducing complexity and removing non-essential ingredients which is at the heart of sustainability for the business and the planet 
 
Outside of his role, he is an advocate for STEM by engaging with his children’s school to teach them how science is involved in delivering the everyday products they use in their homes. 
 
That’s the power of John. Join us and discover the #PowerOfU: https://lnkd.in/gVVzV9i
 
#UniquelyUnilever",10.0,10.0,,10.0,,,,,,,,,,10.0,,,10.0
3676,6.9697e+18,28/08/2022 16:45,unilever,963,15,"We’re nearing the end of our logo journey with one more part remaining! 

Each symbol in our U expresses a fundamental aspect of our company and what we are doing to make positive change in the world.

Heart: A symbol of love, care and health. It represents our commitment to helping people take small everyday actions to improve their health and wellbeing.

Transformation: A symbol of positive change or transformation. Our commitment to find new sustainable ways of doing business.

Plant: A symbol of the natural world we inhabit. It represents our commitment to reducing environmental impact across our value chain – from how we source raw materials, to our manufacturing operations, to the way consumers cook, clean and wash with our products.

Particles: A reference to science and our ongoing commitment to find new innovative ways to improve the lives of our consumers.

Virtuous Cycle: A continuous, virtuous circle that represents our work to reduce the waste associated with the disposal of our products.

Missed out on part 3? Check it out here: https://lnkd.in/gHC3Ca77

#UnileverLogoJourney #UniquelyUnilever",5.0,5.0,,,,5.0,,,,,,,,,,,
3680,6.96899e+18,26/08/2022 18:17,unilever,958,22,"Today we’re heading over to our office in Bonifacio Global City (BGC) in Taguig, Manila, Philippines. 🌏

Our office in Manila has forged a culture of Malasakit, a “genuine concern for others”, and actively engages employees to Win with Purpose. Recognizing the passion behind purpose and the importance of supporting a balanced work life, there are interest groups to join including basketball, volleyball, running and cycling clubs.

Located in the LEED-certified Bonifacio Corporate Center, our office in the Philippines upholds sustainability in its workspaces with its efficient structural design that harnesses daylight and allows for reduced water consumption.

It has many interesting spaces named by employees, such as the Blue Box for karaoke and video gaming and the BRB room with sleeping pods for mini-breaks. Catering to the needs of working parents, the office also has a day care centre, an in-house pharmacy and Unilever shop.

Scroll through to take a tour of our office ➡️

Check out our opportunities to join us here: https://lnkd.in/d8nC8kP

#UniquelyUnilever #UnileverTour",10.0,10.0,,10.0,,,,,,,,,,,,,
3712,6.96132e+18,05/08/2022 14:09,ecolab,295,5,"Protecting what’s vital. It was Ecolab’s company values that drew Raul to the #ECLteam. Since his first day, Raul has helped put these values into practice. 

As a member of the Beverage & Brewery team, Raul is focused on helping customers reduce their water consumption and carbon footprint, to optimize their chemistry usage and develop new products with a greener profile. “All have an immediate impact on [our customers’] activities and therefore the planet,” explains Raul. “What’s really encouraging for me is to see how from our position we can help and support brewers in this journey and how powerful our impact is.” 

We’ll raise a glass to that. Happy International Beer Day!",20.0,15.0,10.0,10.0,,,,,,,,,,15.0,,,15.0
3718,6.95545e+18,20/07/2022 09:03,ecolab,75,0,"We need to move faster and work together to tackle #climatechange and #waterscarcity so we can turn ambitious commitments into concrete actions. This includes how we manage #water resources, as this is critical to achieve a #sustainablefuture. To learn more, join Emilio Tenuta - Chief Sustainability Officer - and other leaders at the #EEDayEU on 13 October for the session “Making industry ‘Fit for55'"".",10.0,10.0,10.0,,,,,,,,,,,,,,
3726,6.95082e+18,07/07/2022 14:39,ecolab,133,0,"Nadeem joined Ecolab in 2010. Today, as a Sr. corporate account manager on the Life Sciences team, he supports customers in achieving their operational goals, while reducing the environmental impact of their facilities.
“Ecolab works everywhere it matters. Here, I have the opportunity to grow and make a difference while helping keep my family and others cleaner, safer, healthier, and happier.”
 
Helping customers protect their product quality, while also protecting the future of our planet is at the heart of our focus on innovative sustainability solutions. Join our #ECLteam today: https://bit.ly/3yMZsFb",15.0,15.0,,10.0,,,,,,,,,,,,,
